correct_ans,question,comment,image_path
1,（１）右彎。（２）左彎。（３）連續彎路先向右。,選擇題第 001 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image001.jpg
1,（１）左彎。（２）右彎。（３）連續彎路先向左。,選擇題第 002 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image002.jpg
1,（１）連續彎路先向右。（２）左彎。（３）連續彎路先向左。,選擇題第 003 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image003.jpg
1,（１）連續彎路先向左。（２）右彎。（３）連續彎路先向右。,選擇題第 004 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image004.jpg
3,（１）雙向道。（２）狹路。（３）岔路。,選擇題第 005 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image005.jpg
1,（１）岔路。（２）雙向道。（３）此路不通。,選擇題第 006 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image006.jpg
1,（１）右側車道縮減。（２）狹路。（３）匝道會車。,選擇題第 007 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image007.jpg
1,（１）狹路。（２）狹橋。（３）岔路。,選擇題第 008 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image008.jpg
3,（１）岔路。（２）狹橋。（３）匝道會車。,選擇題第 009 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image009.jpg
2,（１）單行道。（２）雙向道。（３）狹路。,選擇題第 010 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image010.jpg
2,（１）左彎。（２）圓環。（３）岔路。,選擇題第 011 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image011.jpg
1,（１）路面顛簸。（２）路面高突。（３）路面低窪。,選擇題第 012 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image012.jpg
2,（１）岔路。（２）狹橋。（３）狹路。,選擇題第 013 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image013.jpg
3,（１）路面顛簸。（２）險升坡。（３）路面高突。,選擇題第 014 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image014.jpg
1,（１）險降坡。（２）險升坡。（３）碼頭。,選擇題第 015 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image015.jpg
3,（１）右側斷崖。（２）注意落石。（３）左側斷崖。,選擇題第 016 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image016.jpg
1,（１）無柵門鐵路平交道。（２）有柵門鐵路平交道。（３）禁止汽車進入。,選擇題第 017 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image017.jpg
1,（１）注意號誌。（２）危險。（３）慢行。,選擇題第 018 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image018.jpg
3,（１）禁止汽車進入。（２）無柵門鐵路平交道。（３）有柵門鐵路平交道。,選擇題第 019 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image019.jpg
2,（１）路面高突。（２）路滑。（３）禁止超車。,選擇題第 020 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image020.jpg
2,（１）狹路。（２）隧道。（３）狹橋。,選擇題第 021 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image021.jpg
2,（１）禁止汽車進入。（２）當心台車。（３）當心行人。,選擇題第 022 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image022.jpg
2,（１）當心行人。（２）當心兒童。（３）禁止行人通行。,選擇題第 023 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image023.jpg
2,（１）當心兒童。（２）當心行人。（３）禁止行人通行。,選擇題第 024 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image024.jpg
3,（１）停車再開。（２）讓路。（３）慢行。,選擇題第 025 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image025.jpg
2,（１）險降坡。（２）碼頭、堤岸。（３）路滑。,選擇題第 026 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image026.jpg
3,（１）危險路面。（２）注意左側落石。（３）注意右側落石。,選擇題第 027 題，分類07|事故預防及處理(預防國道二次事故、急救常識),.\src\sign-OX.files\image027.jpg
2,（１）狹橋。（２）危險。（３）慢行。,選擇題第 028 題，分類07|事故預防及處理(預防國道二次事故、急救常識),.\src\sign-OX.files\image028.jpg
1,（１）靠右行駛。（２）單行道。（３）可以右轉。,選擇題第 029 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image029.jpg
2,（１）禁止停車。（２）停車檢查。（３）禁止汽車進入。,選擇題第 030 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image030.jpg
3,（１）禁止行人通行。（２）停車再開。（３）禁止任何車輛進入。,選擇題第 031 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image031.jpg
3,（１）禁止行人通行。（２）禁止任何車輛進入。（３）禁止四輪以上汽車進入。,選擇題第 032 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image032.jpg
2,（１）禁止任何車輛進入。（２）禁止聯結車進入。（３）禁止大貨車及聯結車進入。,選擇題第 033 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image033.jpg
1,（１） 禁止大型重型機車以外之 機車進入。（２）禁止四輪以上汽車進入。（３）禁止任何機車進入。,選擇題第 034 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image034.jpg
2,（１）禁止任何車輛進入。（２）禁止四輪以上汽車及機車進入。（３）禁止行人通行。,選擇題第 035 題，分類08|禁止不當行為(酒駕、不使用手機、危險駕駛),.\src\sign-OX.files\image035.jpg
2,（１）禁止迴車。（２）禁止左轉。（３）禁止超車。,選擇題第 036 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image036.jpg
1,（１）禁止超車。（２）禁止會車。（３）禁止汽車進入。,選擇題第 037 題，分類08|禁止不當行為(酒駕、不使用手機、危險駕駛),.\src\sign-OX.files\image037.jpg
2,（１）禁止左轉。（２）禁止迴車。（３）禁止會車。,選擇題第 038 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image038.jpg
2,（１）雙向道。（２）禁止會車。（３）分道。,選擇題第 039 題，分類08|禁止不當行為(酒駕、不使用手機、危險駕駛),.\src\sign-OX.files\image039.jpg
1,（１）車輛寬度限制。（２）單行道。（３）車輛高度限制。,選擇題第 040 題，分類07|事故預防及處理(預防國道二次事故、急救常識),.\src\sign-OX.files\image040.jpg
1,（１）車輛總重限制。（２）車輛載重限制。（３）車輛空重。,選擇題第 041 題，分類09|行車檢查(設備、燈光),.\src\sign-OX.files\image041.jpg
1,（１）禁止行人通行。（２）當心行人。（３）當心兒童。,選擇題第 042 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image042.jpg
2,（１）最低速限。（２）最高速限。（３）車輛總重限制。,選擇題第 043 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image043.jpg
1,（１）禁止大貨車及聯結車進入。（２）禁止大貨車進入。（３）禁止汽車進入。,選擇題第 044 題，分類06|貨物裝載(防止掉落或滲漏),.\src\sign-OX.files\image044.jpg
3,（１）左彎。（２）左轉方向。（３）直行後左轉。,選擇題第 045 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image045.jpg
2,（１）單線電化鐵路平交道。（２）雙線以上電化鐵路平交道。（３）單線鐵路平交道。,選擇題第 046 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image046.jpg
1,（１）車輛長度限制。（２）車輛寬度限制。（３）禁止大貨車進入。,選擇題第 047 題，分類06|貨物裝載(防止掉落或滲漏),.\src\sign-OX.files\image047.jpg
1,（１）道路專行車輛。（２）禁行汽車。（３）禁止任何車輛進入。,選擇題第 048 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image048.jpg
1,（１）圓環遵行方向。（２）分道。（３）單行道。,選擇題第 049 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image049.jpg
1,（１）行人專用。（２）當心行人。（３）當心兒童。,選擇題第 050 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image050.jpg
2,（１）省道路線編號。（２）市、縣道路線編號。（３）國道路線編號。,選擇題第 051 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image051.jpg
2,（１）遵行方向。（２）救護站（３）岔路。,選擇題第 052 題，分類07|事故預防及處理(預防國道二次事故、急救常識),.\src\sign-OX.files\image052.jpg
2,（１）岔路。（２）此路不通。（３）狹路。,選擇題第 053 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image053.jpg
1,（１）省道路線編號。（２）縣道路線編號。（３）國道路線編號。,選擇題第 054 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image054.jpg
2,（１）閃光黃燈。（２）行車管制號誌。（３）斑馬線閃光號誌。,選擇題第 055 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image055.jpg
2,（１）斑馬線閃光號誌。（２）特種閃光「黃燈」號誌。（３）閃光紅燈號誌。,選擇題第 056 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image056.jpg
1,（１）行人專用號誌。（２）閃光黃燈。（３）行人穿越道號誌。,選擇題第 057 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image057.jpg
3,（１）閃光黃燈。（２）閃光紅燈號誌。（３）行人穿越道號誌。,選擇題第 058 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image058.jpg
2,（１）右道封閉。（２）左道封閉。（３）車輛改道。,選擇題第 059 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image059.jpg
1,（１）右道封閉。（２）左道封閉。（３）車輛改道。,選擇題第 060 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image060.jpg
3,（１）道路封閉。（２）車輛改道。（３）道路施工。,選擇題第 061 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image061.jpg
3,（１）左道封閉。（２）右道封閉。（３）車輛改道。,選擇題第 062 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image062.jpg
1,（１）指示改道方向。（２）單行道。（３）右轉方向指示。,選擇題第 063 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image063.jpg
2,（１）道路施工。（２）道路封閉。（３）車輛改道。,選擇題第 064 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image064.jpg
3,（１）救護站。（２）加油站。（３）修理站。,選擇題第 065 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image065.jpg
1,（１）直行後右轉。（２）直行後左轉。（３）左轉遵行方向。,選擇題第 066 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image066.jpg
2,（１）人行天橋。（２）人行地下道。（３）停車處。,選擇題第 067 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image067.jpg
3,道路指定（１）汽車專行。（２）大客車專行。（３）自行車及大型重型機車以外之機車專行。,選擇題第 068 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image068.jpg
3,（１）救護站。（２）修理站。（３）加油站。,選擇題第 069 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image069.jpg
1,（１）餐旅服務。（２）加油站。（３）修理站。,選擇題第 070 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image070.jpg
2,（１）左轉方向。（２）右轉方向。（３）左右轉方向。,選擇題第 071 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image071.jpg
2,（１）禁制標誌。（２）車輛故障標誌。（３）危險標誌。,選擇題第 072 題，分類07|事故預防及處理(預防國道二次事故、急救常識),.\src\sign-OX.files\image072.jpg
1,圖中白色倒三角型標線是：（１）讓路線。（２）停止線。（３）路中障礙物體線。,選擇題第 073 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image073.jpg
3,（１）停車線。（２）近障礙物線。（３）車輛停放線。,選擇題第 074 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image074.jpg
1,圖中箭頭所指白色實線為：（１）路面邊線。（２）車道線。（３）雙方禁止超車線。,選擇題第 075 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image075.jpg
3,（１）近障礙物線。（２）近鐵路平交道線。（３）路寬變更線。,選擇題第 076 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image076.jpg
2,圖中白色虛線為：（１）斑馬紋行人穿越道線。（２）車道線。（３）路面邊線。,選擇題第 077 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image077.jpg
1,（１）近鐵路平交道線。（２）近障礙物線。（３）路寬變更線。,選擇題第 078 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image078.jpg
3,（１）禁止停車線。（２）行車分向線。（３）指向線。,選擇題第 079 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image079.jpg
2,圖中黃色雙實線為：（１）單向禁止超車線。（２）雙向禁止超車線。（３）車道線。,選擇題第 080 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image080.jpg
1,圖中黃色單實線與黃色虛線併列部分為：（１）單向禁止超車線。（２）雙向禁止超車線。（３）車道線。,選擇題第 081 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image081.jpg
3,圖中白色雙實線為：（１）分向限制線。（２）雙向禁止超車線。（３）禁止變換車道線。,選擇題第 082 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image082.jpg
1,圖中黃色實線為：（１）禁止停車線。（２）禁止臨時停車線。（３）車輛停放線。,選擇題第 083 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image083.jpg
2,圖中紅色實線為：（１）禁止停車線。（２）禁止臨時停車線。（３）車輛停放線。,選擇題第 084 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image084.jpg
3,圖中黃色虛線為：（１）車道線。（２）分向限制線。（３）行車分向線。,選擇題第 085 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image085.jpg
1,圖中白色斜紋線為：（１）斑馬紋行人穿越道線。（２）枕木紋行人穿越道線。（３）停止線。,選擇題第 086 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image086.jpg
3,圖中白色橫向實線為：（１）車輛停放線。（２）禁止超車線。（３）停止線。,選擇題第 087 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image087.jpg
2,圖中白色紋線為：（１）斑馬紋行人穿越道線。（２）枕木紋行人穿越道線。（３）停止線。,選擇題第 088 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image088.jpg
1,圖中黃色雙實線為：（１）分向限制線。（２）禁止變換車道線。（３）車道線。,選擇題第 089 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image089.jpg
2,（１）路中障礙物體線。（２）近障礙物線。（３）路寬變更線。,選擇題第 090 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image090.jpg
2,圖中網狀線，用以告示車輛駕駛人在本標線範圍內：（１）可以臨時停車。（２）禁止臨時停車。（３）禁止停車。,選擇題第 091 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image091.jpg
1,圖中白色虛線為：（１）轉彎線。（２）網狀線。（３）槽化線。,選擇題第 092 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image092.jpg
1,（１）身心障礙者專用停車位。（２）停止線。（３）禁止停車線。,選擇題第 093 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image093.jpg
2,（１）全部車輛停止。（２）前後來車停止，左右來車通行。（３）前方來車停止通行。,選擇題第 094 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image094.jpg
1,（１）右方來車左轉彎。（２）右方來車速行。（３）左方來車速行。,選擇題第 095 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image095.jpg
1,（１）右方來車停止。（２）右方來車左轉彎。（３）右方來車速行。,選擇題第 096 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image096.jpg
3,（１）右方來車停止。（２）左方來車通行。（３）右方來車速行。,選擇題第 097 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image097.jpg
2,（１）左方來車速行。（２）左方來車左轉彎。（３）右方來車停止。,選擇題第 098 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image098.jpg
3,（１）前方來車停止通行。（２）前後來車停止，左右來車通行。（３）全部車輛停止。,選擇題第 099 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image099.jpg
1,（１）前方來車停止。（２）前後停止左右通行。（３）全部車輛停止。,選擇題第 100 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image100.jpg
1,左臂向上，手掌向右微曲，表示：（１）右轉彎。（２）左轉彎。（３）讓後車超車。,選擇題第 101 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image101.jpg
2,左臂平伸，手掌向下，表示：（１）右轉彎。（２）左轉彎。（３）慢行。,選擇題第 102 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image102.jpg
1,左臂向下垂伸，手掌向後，表示：（１）減速暫停。（２）讓後車超越。（３）倒車。,選擇題第 103 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image103.jpg
3,左臂向下作４５度垂伸，手掌向前並前後擺動，表示：（１）倒車。（２）慢行。（３）讓後車超越。,選擇題第 104 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image104.jpg
1,（１）開亮頭燈。（２）注意號誌。（３）按鳴喇叭。,選擇題第 105 題，分類04|正確使用燈光(頭燈、霧燈、方向燈),.\src\sign-OX.files\image105.jpg
1,（１）道路指定四輪以上汽車與汽缸總排氣量550立方公分以上大型重型機車專行。（２）道路指定自行車與機車專行。（３）道路禁止四輪以上汽車與汽缸總排氣量 550立方公分以上大型重型機車進入。,選擇題第 106 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image106.jpg
2,（１）車道指定四輪以上汽車專行。（２）車道指定四輪以上汽車及汽缸總排氣量 550立方公分以上大型重型機車專行。（３）車道指定汽缸總排氣量550立方公分以上大型重型機車專行。,選擇題第 107 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image107.jpg
1,（１）禁止汽缸總排氣量 550立方公分以上大型重型機車進入。（２）汽缸總排氣量 550 立方公分以上大型重型機車專用車道。（３）禁止自行車進入。,選擇題第 108 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image108.jpg
3,（１）車輛長度限制。（２）最高速限。（３）行車安全距離限制。,選擇題第 109 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image109.jpg
3,本標誌是（１）縣道路線編號。（２）省道路線編號。（３）國道路線編號。,選擇題第 110 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image110.jpg
1,警告駕駛人注意（１）前方右側有車插會。（２）前方左側有車插會。（３）岔路。,選擇題第 111 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image111.jpg
2,限制出口匝道上最高行駛速度為每小時（１）６０公里。（２）４０公里。（３）８０公里。,選擇題第 112 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image112.jpg
2,本標誌為（１）出口。（２）車道。（３）地名。之指示標誌。,選擇題第 113 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image113.jpg
3,本標誌是：（１）單行道。（２）遵行方向。（３）指示改道方向。,選擇題第 114 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image114.jpg
2,本標誌為（１）警告標誌。（２）車輛故障標誌。（３）施工標誌。,選擇題第 115 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image115.jpg
3,本標誌為：（１）地名里程指示。（２）方向里程指示。（３）地名方向指示。,選擇題第 116 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image116.jpg
3,指示（１）高速公路出口。（２）高速公路服務區。（３）高速公路指引。,選擇題第 117 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image117.jpg
1,本標誌為（１）道路施工。（２）車輛改道。（３）道路封閉。,選擇題第 118 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image118.jpg
1,本號誌是：（１）車道管制號誌，表示本車道封閉。（２）前有岔道。（３）行車管制號誌。,選擇題第 119 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image119.jpg
2,本標誌是：（１）里程碑。（２）里程牌。（３）縣道路線編號。,選擇題第 120 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image120.jpg
1,圖中最外側的路面邊線與車道線中間的白色實線為何種標線？（１）快慢車道分隔線。（２）行車分向線。（３）雙方禁止超車線。,選擇題第 121 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image121.jpg
1,（１）當心自行車。（２）當心行人。（３）當心機車。,選擇題第 122 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image122.jpg
3,（１）近鐵路平交道。（２）高 (快) 速公路車輛保持距離。（３）高 (快) 速公路出口距離。,選擇題第 123 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image123.jpg
1,（１）高(快)速公路交流道名稱。（２）地名里程。（３）高（快）速公路出口距離。,選擇題第 124 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image124.jpg
3,（１）產業道路。（２）縣道路線編號標誌。（３）區、鄉道路線編號標誌。,選擇題第 125 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image125.jpg
2,（１）一般公路之省道路線編號標誌。（２）快速公路之省道路線編號標誌。（３）最高速限標誌。,選擇題第 126 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image126.jpg
1,（１）停車處。（２）公園。（３）迴轉道。,選擇題第 127 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image127.jpg
1,（１）捷運車站。（２）鐵路車站。（３）高速鐵路車站。,選擇題第 128 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image128.jpg
1,（１）港埠。（２）渡口。（３）修理站。,選擇題第 129 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image129.jpg
2,（１）捷運車站。（２）鐵路車站。（３）高速鐵路車站。,選擇題第 130 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image130.jpg
3,（１）捷運車站。（２）鐵路車站。（３）高速鐵路車站。,選擇題第 131 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image131.jpg
1,（１）公路汽車客運車站或轉運站。（２）捷運車站。（３）計程車招呼站。,選擇題第 132 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image132.jpg
1,（１）車道指定自行車專行。（２）車道指定汽車專行。（３）車道指定機車專行。,選擇題第 133 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image133.jpg
1,圖中路口交叉型標線是？（１）對角線行人穿越道線。（２）網狀線。（３）自行車穿越道線。,選擇題第 134 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image134.jpg
1,駕駛人如果在道路上發現圖中的橫向標線時，應該如何反應？（１）減速慢行。（２）加速通過。（３）檢查輪胎。,選擇題第 135 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image135.jpg
1,自行車騎士手勢預告即將(1)右轉 (2)左轉 (3)減速暫停。,選擇題第 136 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image136.jpg
3,自行車騎士手勢預告即將(1)右轉 (2)左轉 (3)減速暫停。,選擇題第 137 題，分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德),.\src\sign-OX.files\image137.jpg
